facility_name,facility_id,measure_name,number_of_discharges,excess_readmission_ratio,number_of_readmissions
CAPE CANAVERAL HOSPITAL,100177,READM-30-COPD-HRRP,242.0,1.0463,53
CAPE CANAVERAL HOSPITAL,100177,READM-30-HF-HRRP,340.0,0.9388,67
CAPE CANAVERAL HOSPITAL,100177,READM-30-PN-HRRP,398.0,0.9733,64
MEMORIAL HOSPITAL JACKSONVILLE,100179,READM-30-AMI-HRRP,206.0,1.0502,41
MEMORIAL HOSPITAL JACKSONVILLE,100179,READM-30-CABG-HRRP,63.0,1.1507,13
MEMORIAL HOSPITAL JACKSONVILLE,100179,READM-30-COPD-HRRP,358.0,1.1369,94
MEMORIAL HOSPITAL JACKSONVILLE,100179,READM-30-HF-HRRP,698.0,1.1152,186
MEMORIAL HOSPITAL JACKSONVILLE,100179,READM-30-HIP-KNEE-HRRP,236.0,1.1382,14
MEMORIAL HOSPITAL JACKSONVILLE,100179,READM-30-PN-HRRP,482.0,1.1538,111
ST PETERSBURG GENERAL HOSPITAL,100180,READM-30-COPD-HRRP,152.0,1.0271,34
ST PETERSBURG GENERAL HOSPITAL,100180,READM-30-HF-HRRP,127.0,1.1126,39
ST PETERSBURG GENERAL HOSPITAL,100180,READM-30-PN-HRRP,229.0,1.0978,52
LARKIN COMMUNITY HOSPITAL,100181,READM-30-PN-HRRP,120.0,0.9989,21
CORAL GABLES HOSPITAL,100183,READM-30-COPD-HRRP,384.0,1.0136,77
CORAL GABLES HOSPITAL,100183,READM-30-HF-HRRP,260.0,1.0515,65
CORAL GABLES HOSPITAL,100183,READM-30-PN-HRRP,250.0,0.9537,41
PALMETTO GENERAL HOSPITAL,100187,READM-30-AMI-HRRP,185.0,1.0451,41
PALMETTO GENERAL HOSPITAL,100187,READM-30-COPD-HRRP,252.0,0.981,52
PALMETTO GENERAL HOSPITAL,100187,READM-30-HF-HRRP,283.0,1.0216,67
PALMETTO GENERAL HOSPITAL,100187,READM-30-PN-HRRP,261.0,0.9624,38
NORTHWEST MEDICAL CENTER,100189,READM-30-AMI-HRRP,218.0,1.0193,39
NORTHWEST MEDICAL CENTER,100189,READM-30-COPD-HRRP,219.0,1.0124,44
NORTHWEST MEDICAL CENTER,100189,READM-30-HF-HRRP,447.0,1.0627,114
NORTHWEST MEDICAL CENTER,100189,READM-30-PN-HRRP,270.0,1.0637,51
MEDICAL CENTER OF TRINITY,100191,READM-30-AMI-HRRP,266.0,1.0815,53
MEDICAL CENTER OF TRINITY,100191,READM-30-CABG-HRRP,50.0,1.2057,13
MEDICAL CENTER OF TRINITY,100191,READM-30-COPD-HRRP,395.0,0.9933,78
MEDICAL CENTER OF TRINITY,100191,READM-30-HF-HRRP,455.0,1.0514,108
MEDICAL CENTER OF TRINITY,100191,READM-30-HIP-KNEE-HRRP,275.0,0.9795,12
MEDICAL CENTER OF TRINITY,100191,READM-30-PN-HRRP,464.0,1.0771,89
BROWARD HEALTH IMPERIAL POINT,100200,READM-30-COPD-HRRP,126.0,0.9925,26
BROWARD HEALTH IMPERIAL POINT,100200,READM-30-HF-HRRP,74.0,1.0474,18
BROWARD HEALTH IMPERIAL POINT,100200,READM-30-PN-HRRP,152.0,1.0083,24
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,READM-30-AMI-HRRP,630.0,1.0726,114
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,READM-30-CABG-HRRP,203.0,1.8144,61
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,READM-30-COPD-HRRP,858.0,1.0675,184
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,READM-30-HF-HRRP,1444.0,1.1691,388
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,READM-30-HIP-KNEE-HRRP,1088.0,0.9092,40
NORTH FLORIDA REGIONAL MEDICAL CENTER,100204,READM-30-PN-HRRP,1151.0,0.9799,186
MEMORIAL HOSPITAL OF TAMPA,100206,READM-30-COPD-HRRP,135.0,0.9638,21
MEMORIAL HOSPITAL OF TAMPA,100206,READM-30-HF-HRRP,194.0,1.109,57
MEMORIAL HOSPITAL OF TAMPA,100206,READM-30-PN-HRRP,142.0,0.9885,21
KENDALL REGIONAL MEDICAL CENTER,100209,READM-30-AMI-HRRP,110.0,1.1228,30
KENDALL REGIONAL MEDICAL CENTER,100209,READM-30-COPD-HRRP,193.0,0.9797,36
KENDALL REGIONAL MEDICAL CENTER,100209,READM-30-HF-HRRP,340.0,1.1419,96
KENDALL REGIONAL MEDICAL CENTER,100209,READM-30-PN-HRRP,405.0,1.1468,85
ADVENTHEALTH DADE CITY,100211,READM-30-HF-HRRP,89.0,0.9466,15
MARION COMMUNTIY HOSPITAL,100212,READM-30-AMI-HRRP,501.0,1.0106,77
MARION COMMUNTIY HOSPITAL,100212,READM-30-CABG-HRRP,150.0,1.0306,20
MARION COMMUNTIY HOSPITAL,100212,READM-30-COPD-HRRP,644.0,1.0191,124
MARION COMMUNTIY HOSPITAL,100212,READM-30-HF-HRRP,1130.0,1.0976,270
MARION COMMUNTIY HOSPITAL,100212,READM-30-HIP-KNEE-HRRP,2350.0,0.9601,91
MARION COMMUNTIY HOSPITAL,100212,READM-30-PN-HRRP,1203.0,1.0266,198
BLAKE MEDICAL CENTER,100213,READM-30-AMI-HRRP,390.0,1.1101,72
BLAKE MEDICAL CENTER,100213,READM-30-CABG-HRRP,77.0,1.3011,19
BLAKE MEDICAL CENTER,100213,READM-30-COPD-HRRP,473.0,0.9968,81
BLAKE MEDICAL CENTER,100213,READM-30-HF-HRRP,660.0,1.0635,150
BLAKE MEDICAL CENTER,100213,READM-30-HIP-KNEE-HRRP,810.0,0.9271,30
BLAKE MEDICAL CENTER,100213,READM-30-PN-HRRP,520.0,0.9907,81
STEWARD SEBASTIAN RIVER MEDICAL CENTER,100217,READM-30-AMI-HRRP,131.0,0.967,17
STEWARD SEBASTIAN RIVER MEDICAL CENTER,100217,READM-30-COPD-HRRP,272.0,0.9642,43
STEWARD SEBASTIAN RIVER MEDICAL CENTER,100217,READM-30-HF-HRRP,389.0,1.0884,91
STEWARD SEBASTIAN RIVER MEDICAL CENTER,100217,READM-30-HIP-KNEE-HRRP,481.0,0.969,20
STEWARD SEBASTIAN RIVER MEDICAL CENTER,100217,READM-30-PN-HRRP,293.0,0.9773,42
GULF COAST MEDICAL CENTER LEE HEALTH,100220,READM-30-AMI-HRRP,515.0,1.0336,82
GULF COAST MEDICAL CENTER LEE HEALTH,100220,READM-30-COPD-HRRP,740.0,1.0307,162
GULF COAST MEDICAL CENTER LEE HEALTH,100220,READM-30-HF-HRRP,1078.0,1.0381,250
GULF COAST MEDICAL CENTER LEE HEALTH,100220,READM-30-HIP-KNEE-HRRP,1051.0,0.9183,41
GULF COAST MEDICAL CENTER LEE HEALTH,100220,READM-30-PN-HRRP,1016.0,0.995,170
FORT WALTON BEACH MEDICAL CENTER,100223,READM-30-AMI-HRRP,355.0,0.9182,46
FORT WALTON BEACH MEDICAL CENTER,100223,READM-30-CABG-HRRP,212.0,0.8533,23
FORT WALTON BEACH MEDICAL CENTER,100223,READM-30-COPD-HRRP,416.0,1.0801,91
FORT WALTON BEACH MEDICAL CENTER,100223,READM-30-HF-HRRP,620.0,1.0566,147
FORT WALTON BEACH MEDICAL CENTER,100223,READM-30-HIP-KNEE-HRRP,351.0,1.1714,22
FORT WALTON BEACH MEDICAL CENTER,100223,READM-30-PN-HRRP,482.0,1.1285,104
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,READM-30-COPD-HRRP,209.0,1.0453,46
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,READM-30-HF-HRRP,315.0,1.2002,100
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,READM-30-HIP-KNEE-HRRP,153.0,1.2711,15
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,READM-30-PN-HRRP,308.0,0.9661,48
ORANGE PARK MEDICAL CENTER,100226,READM-30-AMI-HRRP,263.0,1.0127,49
ORANGE PARK MEDICAL CENTER,100226,READM-30-CABG-HRRP,85.0,1.0537,14
ORANGE PARK MEDICAL CENTER,100226,READM-30-COPD-HRRP,416.0,0.984,84
ORANGE PARK MEDICAL CENTER,100226,READM-30-HF-HRRP,638.0,1.0012,152
ORANGE PARK MEDICAL CENTER,100226,READM-30-PN-HRRP,843.0,1.1087,188
WESTSIDE REGIONAL MEDICAL CENTER,100228,READM-30-AMI-HRRP,215.0,1.0878,46
WESTSIDE REGIONAL MEDICAL CENTER,100228,READM-30-COPD-HRRP,292.0,1.1023,71
WESTSIDE REGIONAL MEDICAL CENTER,100228,READM-30-HF-HRRP,461.0,1.1425,128
WESTSIDE REGIONAL MEDICAL CENTER,100228,READM-30-PN-HRRP,317.0,1.0149,56
MEMORIAL HOSPITAL PEMBROKE,100230,READM-30-COPD-HRRP,154.0,1.0665,38
MEMORIAL HOSPITAL PEMBROKE,100230,READM-30-HF-HRRP,128.0,1.0594,33
MEMORIAL HOSPITAL PEMBROKE,100230,READM-30-PN-HRRP,222.0,0.8894,25
WEST FLORIDA HOSPITAL,100231,READM-30-AMI-HRRP,339.0,1.1782,75
WEST FLORIDA HOSPITAL,100231,READM-30-CABG-HRRP,88.0,1.037,12
WEST FLORIDA HOSPITAL,100231,READM-30-COPD-HRRP,577.0,0.9997,114
WEST FLORIDA HOSPITAL,100231,READM-30-HF-HRRP,927.0,1.0656,219
WEST FLORIDA HOSPITAL,100231,READM-30-HIP-KNEE-HRRP,369.0,1.7295,40
WEST FLORIDA HOSPITAL,100231,READM-30-PN-HRRP,839.0,1.0055,136
PUTNAM COMMUNITY MEDICAL CENTER,100232,READM-30-AMI-HRRP,105.0,1.0613,22
PUTNAM COMMUNITY MEDICAL CENTER,100232,READM-30-COPD-HRRP,474.0,1.0296,100
PUTNAM COMMUNITY MEDICAL CENTER,100232,READM-30-HF-HRRP,457.0,1.2458,149
PUTNAM COMMUNITY MEDICAL CENTER,100232,READM-30-PN-HRRP,327.0,1.0336,65
FAWCETT MEMORIAL HOSPITAL,100236,READM-30-AMI-HRRP,363.0,1.0454,67
FAWCETT MEMORIAL HOSPITAL,100236,READM-30-CABG-HRRP,82.0,1.1897,18
FAWCETT MEMORIAL HOSPITAL,100236,READM-30-COPD-HRRP,588.0,1.1042,136
FAWCETT MEMORIAL HOSPITAL,100236,READM-30-HF-HRRP,721.0,1.0815,180
FAWCETT MEMORIAL HOSPITAL,100236,READM-30-HIP-KNEE-HRRP,907.0,1.0348,45
FAWCETT MEMORIAL HOSPITAL,100236,READM-30-PN-HRRP,677.0,1.1082,140
NORTHSIDE HOSPITAL,100238,READM-30-AMI-HRRP,226.0,1.2293,56
NORTHSIDE HOSPITAL,100238,READM-30-COPD-HRRP,352.0,1.1536,98
NORTHSIDE HOSPITAL,100238,READM-30-HF-HRRP,428.0,1.0668,111
NORTHSIDE HOSPITAL,100238,READM-30-PN-HRRP,345.0,1.1056,77
GULF COAST REGIONAL MEDICAL CENTER,100242,READM-30-AMI-HRRP,130.0,1.0417,23
GULF COAST REGIONAL MEDICAL CENTER,100242,READM-30-COPD-HRRP,391.0,1.0461,84
GULF COAST REGIONAL MEDICAL CENTER,100242,READM-30-HF-HRRP,470.0,1.0037,108
GULF COAST REGIONAL MEDICAL CENTER,100242,READM-30-HIP-KNEE-HRRP,475.0,1.1946,29
GULF COAST REGIONAL MEDICAL CENTER,100242,READM-30-PN-HRRP,667.0,1.0564,130
BRANDON REGIONAL HOSPITAL,100243,READM-30-AMI-HRRP,366.0,1.0706,69
BRANDON REGIONAL HOSPITAL,100243,READM-30-CABG-HRRP,143.0,1.0071,20
BRANDON REGIONAL HOSPITAL,100243,READM-30-COPD-HRRP,413.0,1.0171,86
BRANDON REGIONAL HOSPITAL,100243,READM-30-HF-HRRP,726.0,1.1529,204
BRANDON REGIONAL HOSPITAL,100243,READM-30-HIP-KNEE-HRRP,271.0,1.032,11
BRANDON REGIONAL HOSPITAL,100243,READM-30-PN-HRRP,563.0,1.1212,117
CAPE CORAL HOSPITAL,100244,READM-30-AMI-HRRP,74.0,1.0046,12
CAPE CORAL HOSPITAL,100244,READM-30-COPD-HRRP,821.0,1.1263,189
CAPE CORAL HOSPITAL,100244,READM-30-HF-HRRP,937.0,1.085,224
CAPE CORAL HOSPITAL,100244,READM-30-PN-HRRP,1012.0,1.0052,162
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,100246,READM-30-AMI-HRRP,449.0,1.1382,92
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,100246,READM-30-CABG-HRRP,179.0,1.25,33
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,100246,READM-30-COPD-HRRP,326.0,1.1457,83
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,100246,READM-30-HF-HRRP,588.0,1.201,164
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,100246,READM-30-PN-HRRP,374.0,0.9905,62
LARGO MEDICAL CENTER,100248,READM-30-AMI-HRRP,254.0,1.1523,55
LARGO MEDICAL CENTER,100248,READM-30-COPD-HRRP,391.0,1.0309,84
LARGO MEDICAL CENTER,100248,READM-30-HF-HRRP,614.0,1.1665,172
LARGO MEDICAL CENTER,100248,READM-30-HIP-KNEE-HRRP,106.0,1.3986,15
LARGO MEDICAL CENTER,100248,READM-30-PN-HRRP,531.0,1.0414,104
BAYFRONT HEALTH SEVEN RIVERS,100249,READM-30-AMI-HRRP,227.0,1.0552,42
BAYFRONT HEALTH SEVEN RIVERS,100249,READM-30-COPD-HRRP,348.0,0.9714,59
BAYFRONT HEALTH SEVEN RIVERS,100249,READM-30-HF-HRRP,338.0,1.0424,78
BAYFRONT HEALTH SEVEN RIVERS,100249,READM-30-HIP-KNEE-HRRP,648.0,0.8394,20
BAYFRONT HEALTH SEVEN RIVERS,100249,READM-30-PN-HRRP,268.0,0.9699,40
RAULERSON HOSPITAL,100252,READM-30-AMI-HRRP,77.0,1.05,18
RAULERSON HOSPITAL,100252,READM-30-COPD-HRRP,404.0,1.1955,114
RAULERSON HOSPITAL,100252,READM-30-HF-HRRP,326.0,1.1577,98
RAULERSON HOSPITAL,100252,READM-30-PN-HRRP,250.0,1.0553,49
JUPITER MEDICAL CENTER,100253,READM-30-AMI-HRRP,122.0,0.9648,15
JUPITER MEDICAL CENTER,100253,READM-30-COPD-HRRP,425.0,0.9082,63
JUPITER MEDICAL CENTER,100253,READM-30-HF-HRRP,438.0,1.0167,98
JUPITER MEDICAL CENTER,100253,READM-30-HIP-KNEE-HRRP,1105.0,1.0011,45
JUPITER MEDICAL CENTER,100253,READM-30-PN-HRRP,729.0,0.99,111
CAPITAL REGIONAL MEDICAL CENTER,100254,READM-30-AMI-HRRP,149.0,1.1464,33
CAPITAL REGIONAL MEDICAL CENTER,100254,READM-30-CABG-HRRP,55.0,1.2517,13
CAPITAL REGIONAL MEDICAL CENTER,100254,READM-30-COPD-HRRP,228.0,1.0213,44
CAPITAL REGIONAL MEDICAL CENTER,100254,READM-30-HF-HRRP,435.0,1.2272,128
CAPITAL REGIONAL MEDICAL CENTER,100254,READM-30-PN-HRRP,337.0,1.102,66
REGIONAL MEDICAL CENTER BAYONET POINT,100256,READM-30-AMI-HRRP,290.0,1.0456,53
REGIONAL MEDICAL CENTER BAYONET POINT,100256,READM-30-CABG-HRRP,69.0,1.1101,13
REGIONAL MEDICAL CENTER BAYONET POINT,100256,READM-30-COPD-HRRP,485.0,1.0954,107
REGIONAL MEDICAL CENTER BAYONET POINT,100256,READM-30-HF-HRRP,635.0,1.2134,182
REGIONAL MEDICAL CENTER BAYONET POINT,100256,READM-30-HIP-KNEE-HRRP,260.0,1.0195,13
REGIONAL MEDICAL CENTER BAYONET POINT,100256,READM-30-PN-HRRP,351.0,0.9823,57
DELRAY MEDICAL CENTER,100258,READM-30-AMI-HRRP,527.0,1.0384,97
DELRAY MEDICAL CENTER,100258,READM-30-CABG-HRRP,146.0,1.0517,22
DELRAY MEDICAL CENTER,100258,READM-30-COPD-HRRP,567.0,1.0643,122
DELRAY MEDICAL CENTER,100258,READM-30-HF-HRRP,1189.0,0.9554,239
DELRAY MEDICAL CENTER,100258,READM-30-HIP-KNEE-HRRP,249.0,1.0082,15
DELRAY MEDICAL CENTER,100258,READM-30-PN-HRRP,1069.0,0.9676,167
SOUTH BAY HOSPITAL,100259,READM-30-AMI-HRRP,57.0,1.0262,12
SOUTH BAY HOSPITAL,100259,READM-30-COPD-HRRP,314.0,1.0767,69
SOUTH BAY HOSPITAL,100259,READM-30-HF-HRRP,506.0,1.1421,135
SOUTH BAY HOSPITAL,100259,READM-30-HIP-KNEE-HRRP,178.0,1.1399,12
SOUTH BAY HOSPITAL,100259,READM-30-PN-HRRP,495.0,1.0981,95
ST LUCIE MEDICAL CENTER,100260,READM-30-AMI-HRRP,142.0,1.1219,35
ST LUCIE MEDICAL CENTER,100260,READM-30-COPD-HRRP,508.0,1.188,128
ST LUCIE MEDICAL CENTER,100260,READM-30-HF-HRRP,612.0,1.1427,160
ST LUCIE MEDICAL CENTER,100260,READM-30-HIP-KNEE-HRRP,1443.0,1.3689,88
ST LUCIE MEDICAL CENTER,100260,READM-30-PN-HRRP,529.0,1.0853,100
OAK HILL HOSPITAL,100264,READM-30-AMI-HRRP,456.0,1.0862,88
OAK HILL HOSPITAL,100264,READM-30-CABG-HRRP,93.0,1.0017,12
OAK HILL HOSPITAL,100264,READM-30-COPD-HRRP,765.0,0.9718,141
OAK HILL HOSPITAL,100264,READM-30-HF-HRRP,736.0,1.0476,177
OAK HILL HOSPITAL,100264,READM-30-HIP-KNEE-HRRP,634.0,1.2285,39
OAK HILL HOSPITAL,100264,READM-30-PN-HRRP,836.0,1.0941,165
MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE,100265,READM-30-AMI-HRRP,401.0,0.923,56
MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE,100265,READM-30-COPD-HRRP,476.0,0.8898,74
MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE,100265,READM-30-HF-HRRP,777.0,0.904,147
MORTON PLANT MEASE HEALTHCARE COUNTRYSIDE,100265,READM-30-PN-HRRP,810.0,0.7836,89
GULF BREEZE HOSPITAL,100266,READM-30-COPD-HRRP,194.0,0.9423,28
GULF BREEZE HOSPITAL,100266,READM-30-HF-HRRP,231.0,1.0025,51
GULF BREEZE HOSPITAL,100266,READM-30-HIP-KNEE-HRRP,430.0,1.1683,22
GULF BREEZE HOSPITAL,100266,READM-30-PN-HRRP,315.0,0.9403,43
ENGLEWOOD COMMUNITY HOSPITAL,100267,READM-30-AMI-HRRP,165.0,1.0642,28
ENGLEWOOD COMMUNITY HOSPITAL,100267,READM-30-COPD-HRRP,251.0,0.9885,41
ENGLEWOOD COMMUNITY HOSPITAL,100267,READM-30-HF-HRRP,239.0,0.9492,43
ENGLEWOOD COMMUNITY HOSPITAL,100267,READM-30-PN-HRRP,250.0,1.0918,47
WEST BOCA MEDICAL CENTER,100268,READM-30-COPD-HRRP,169.0,1.0178,32
WEST BOCA MEDICAL CENTER,100268,READM-30-HF-HRRP,316.0,1.0785,76
WEST BOCA MEDICAL CENTER,100268,READM-30-PN-HRRP,298.0,1.1164,57
PALMS WEST HOSPITAL,100269,READM-30-AMI-HRRP,90.0,1.0185,15
PALMS WEST HOSPITAL,100269,READM-30-COPD-HRRP,171.0,1.0025,30
PALMS WEST HOSPITAL,100269,READM-30-HF-HRRP,200.0,1.1053,56
PALMS WEST HOSPITAL,100269,READM-30-PN-HRRP,251.0,1.1102,53
WELLINGTON REGIONAL MEDICAL CENTER LLC,100275,READM-30-AMI-HRRP,115.0,1.0284,20
WELLINGTON REGIONAL MEDICAL CENTER LLC,100275,READM-30-COPD-HRRP,229.0,1.0888,55
WELLINGTON REGIONAL MEDICAL CENTER LLC,100275,READM-30-HF-HRRP,296.0,0.984,63
WELLINGTON REGIONAL MEDICAL CENTER LLC,100275,READM-30-HIP-KNEE-HRRP,194.0,1.23,14
WELLINGTON REGIONAL MEDICAL CENTER LLC,100275,READM-30-PN-HRRP,355.0,1.0919,70
BROWARD HEALTH CORAL SPRINGS,100276,READM-30-COPD-HRRP,165.0,1.132,44
BROWARD HEALTH CORAL SPRINGS,100276,READM-30-HF-HRRP,157.0,1.1293,44
BROWARD HEALTH CORAL SPRINGS,100276,READM-30-PN-HRRP,171.0,0.9959,25
MEMORIAL HOSPITAL WEST,100281,READM-30-AMI-HRRP,184.0,0.9996,31
MEMORIAL HOSPITAL WEST,100281,READM-30-COPD-HRRP,381.0,1.0186,87
MEMORIAL HOSPITAL WEST,100281,READM-30-HF-HRRP,495.0,0.9663,107
MEMORIAL HOSPITAL WEST,100281,READM-30-PN-HRRP,523.0,1.0734,102
WESTCHESTER GENERAL HOSPITAL,100284,READM-30-AMI-HRRP,32.0,1.0763,12
WESTCHESTER GENERAL HOSPITAL,100284,READM-30-COPD-HRRP,156.0,1.0812,43
WESTCHESTER GENERAL HOSPITAL,100284,READM-30-HF-HRRP,93.0,1.0369,24
WESTCHESTER GENERAL HOSPITAL,100284,READM-30-PN-HRRP,312.0,1.2084,81
MEMORIAL HOSPITAL MIRAMAR,100285,READM-30-COPD-HRRP,96.0,0.9611,15
MEMORIAL HOSPITAL MIRAMAR,100285,READM-30-HF-HRRP,86.0,0.9658,16
MEMORIAL HOSPITAL MIRAMAR,100285,READM-30-PN-HRRP,189.0,0.9094,20
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,100286,READM-30-AMI-HRRP,389.0,1.0339,61
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,100286,READM-30-COPD-HRRP,398.0,0.9735,63
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,100286,READM-30-HF-HRRP,735.0,1.0567,162
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,100286,READM-30-HIP-KNEE-HRRP,1077.0,1.0533,48
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,100286,READM-30-PN-HRRP,776.0,1.0559,123
GOOD SAMARITAN MEDICAL CENTER,100287,READM-30-AMI-HRRP,107.0,1.1218,25
GOOD SAMARITAN MEDICAL CENTER,100287,READM-30-COPD-HRRP,222.0,1.0288,47
GOOD SAMARITAN MEDICAL CENTER,100287,READM-30-HF-HRRP,348.0,0.9973,72
GOOD SAMARITAN MEDICAL CENTER,100287,READM-30-PN-HRRP,425.0,0.9359,60
ST MARY'S MEDICAL CENTER,100288,READM-30-HF-HRRP,60.0,1.0241,15
ST MARY'S MEDICAL CENTER,100288,READM-30-PN-HRRP,85.0,0.9742,11
CLEVELAND CLINIC HOSPITAL,100289,READM-30-AMI-HRRP,98.0,0.9623,13
CLEVELAND CLINIC HOSPITAL,100289,READM-30-CABG-HRRP,83.0,1.0147,11
CLEVELAND CLINIC HOSPITAL,100289,READM-30-COPD-HRRP,98.0,1.0299,22
CLEVELAND CLINIC HOSPITAL,100289,READM-30-HF-HRRP,433.0,1.003,99
CLEVELAND CLINIC HOSPITAL,100289,READM-30-HIP-KNEE-HRRP,823.0,0.8449,26
CLEVELAND CLINIC HOSPITAL,100289,READM-30-PN-HRRP,340.0,1.0381,67
"VILLAGES REGIONAL HOSPITAL, THE",100290,READM-30-AMI-HRRP,593.0,1.0243,97
"VILLAGES REGIONAL HOSPITAL, THE",100290,READM-30-COPD-HRRP,760.0,0.965,129
"VILLAGES REGIONAL HOSPITAL, THE",100290,READM-30-HF-HRRP,1114.0,1.0356,251
"VILLAGES REGIONAL HOSPITAL, THE",100290,READM-30-HIP-KNEE-HRRP,569.0,1.0192,26
"VILLAGES REGIONAL HOSPITAL, THE",100290,READM-30-PN-HRRP,1266.0,1.0145,204
MELBOURNE REGIONAL MEDICAL CENTER,100291,READM-30-COPD-HRRP,107.0,0.9571,16
MELBOURNE REGIONAL MEDICAL CENTER,100291,READM-30-HF-HRRP,79.0,0.9622,13
MELBOURNE REGIONAL MEDICAL CENTER,100291,READM-30-HIP-KNEE-HRRP,136.0,1.3215,14
MELBOURNE REGIONAL MEDICAL CENTER,100291,READM-30-PN-HRRP,117.0,1.0148,19
SACRED HEART HOSPITAL ON THE EMERALD COAST,100292,READM-30-AMI-HRRP,95.0,1.0129,14
SACRED HEART HOSPITAL ON THE EMERALD COAST,100292,READM-30-COPD-HRRP,176.0,1.0185,32
SACRED HEART HOSPITAL ON THE EMERALD COAST,100292,READM-30-HF-HRRP,201.0,0.9865,41
SACRED HEART HOSPITAL ON THE EMERALD COAST,100292,READM-30-PN-HRRP,270.0,1.0196,46
DOCTORS HOSPITAL,100296,READM-30-COPD-HRRP,170.0,1.0426,39
DOCTORS HOSPITAL,100296,READM-30-HF-HRRP,163.0,1.0217,38
DOCTORS HOSPITAL,100296,READM-30-PN-HRRP,383.0,0.9722,58
LAKEWOOD RANCH MEDICAL CENTER,100299,READM-30-AMI-HRRP,248.0,0.9244,32
LAKEWOOD RANCH MEDICAL CENTER,100299,READM-30-COPD-HRRP,176.0,0.8914,21
LAKEWOOD RANCH MEDICAL CENTER,100299,READM-30-HF-HRRP,242.0,1.0227,56
LAKEWOOD RANCH MEDICAL CENTER,100299,READM-30-HIP-KNEE-HRRP,557.0,0.9334,18
LAKEWOOD RANCH MEDICAL CENTER,100299,READM-30-PN-HRRP,320.0,0.8925,38
ST CLOUD REGIONAL MEDICAL CENTER,100302,READM-30-COPD-HRRP,185.0,0.9294,27
ST CLOUD REGIONAL MEDICAL CENTER,100302,READM-30-HF-HRRP,169.0,0.9803,37
ST CLOUD REGIONAL MEDICAL CENTER,100302,READM-30-PN-HRRP,215.0,1.0403,42
ASCENSION ST VINCENT'S SOUTHSIDE,100307,READM-30-AMI-HRRP,91.0,1.0092,16
ASCENSION ST VINCENT'S SOUTHSIDE,100307,READM-30-COPD-HRRP,198.0,0.9887,41
ASCENSION ST VINCENT'S SOUTHSIDE,100307,READM-30-HF-HRRP,252.0,1.0291,60
ASCENSION ST VINCENT'S SOUTHSIDE,100307,READM-30-HIP-KNEE-HRRP,932.0,1.0804,42
ASCENSION ST VINCENT'S SOUTHSIDE,100307,READM-30-PN-HRRP,464.0,0.9703,77
WEST KENDALL BAPTIST HOSPITAL,100314,READM-30-COPD-HRRP,131.0,1.0497,32
WEST KENDALL BAPTIST HOSPITAL,100314,READM-30-HF-HRRP,221.0,1.0084,50
WEST KENDALL BAPTIST HOSPITAL,100314,READM-30-PN-HRRP,363.0,1.0779,66
VIERA HOSPITAL,100315,READM-30-COPD-HRRP,184.0,1.0362,37
VIERA HOSPITAL,100315,READM-30-HF-HRRP,182.0,0.9954,38
VIERA HOSPITAL,100315,READM-30-HIP-KNEE-HRRP,342.0,0.9169,11
VIERA HOSPITAL,100315,READM-30-PN-HRRP,319.0,1.0294,53
PALM BAY HOSPITAL,100316,READM-30-COPD-HRRP,329.0,0.9621,59
PALM BAY HOSPITAL,100316,READM-30-HF-HRRP,293.0,0.9472,58
PALM BAY HOSPITAL,100316,READM-30-PN-HRRP,428.0,0.9534,67
ADVENTHEALTH WESLEY CHAPEL,100319,READM-30-AMI-HRRP,76.0,1.0635,16
ADVENTHEALTH WESLEY CHAPEL,100319,READM-30-COPD-HRRP,177.0,0.9664,28
ADVENTHEALTH WESLEY CHAPEL,100319,READM-30-HF-HRRP,223.0,1.028,51
ADVENTHEALTH WESLEY CHAPEL,100319,READM-30-HIP-KNEE-HRRP,384.0,1.1213,20
ADVENTHEALTH WESLEY CHAPEL,100319,READM-30-PN-HRRP,239.0,0.9043,26
POINCIANA MEDICAL CENTER,100320,READM-30-COPD-HRRP,75.0,1.0012,14
POINCIANA MEDICAL CENTER,100320,READM-30-HF-HRRP,163.0,1.1942,54
