"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.8484,3.3511,3.9500,Too Few to Report,07/01/2016,06/30/2019
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-COPD-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-HF-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,040152,AR,READM-30-PN-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-COPD-HRRP,73,,0.9931,18.6194,18.7486,13,07/01/2016,06/30/2019
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-HF-HRRP,105,,1.0955,24.6255,22.4794,32,07/01/2016,06/30/2019
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-PN-HRRP,151,,1.0470,15.7909,15.0827,27,07/01/2016,06/30/2019
WADLEY REGIONAL MEDICAL CENTER AT HOPE,040153,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-AMI-HRRP,95,,0.9753,13.0459,13.3770,11,07/01/2016,06/30/2019
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-HIP-KNEE-HRRP,N/A,,0.9871,3.3694,3.4133,Too Few to Report,07/01/2016,06/30/2019
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-COPD-HRRP,87,,1.0236,18.3644,17.9413,18,07/01/2016,06/30/2019
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-HF-HRRP,174,,1.0090,22.0771,21.8809,39,07/01/2016,06/30/2019
BAPTIST HEALTH MEDICAL CENTER- CONWAY,040154,AR,READM-30-PN-HRRP,198,,0.9572,15.1493,15.8261,27,07/01/2016,06/30/2019
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-AMI-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-PN-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",040156,AR,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ST ROSE HOSPITAL,050002,CA,READM-30-AMI-HRRP,118,,1.2104,19.9710,16.5001,35,07/01/2016,06/30/2019
ST ROSE HOSPITAL,050002,CA,READM-30-HIP-KNEE-HRRP,235,,1.0773,4.0943,3.8007,11,07/01/2016,06/30/2019
ST ROSE HOSPITAL,050002,CA,READM-30-COPD-HRRP,200,,1.0677,20.6086,19.3023,47,07/01/2016,06/30/2019
ST ROSE HOSPITAL,050002,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ST ROSE HOSPITAL,050002,CA,READM-30-HF-HRRP,201,,1.1261,24.8866,22.0992,58,07/01/2016,06/30/2019
ST ROSE HOSPITAL,050002,CA,READM-30-PN-HRRP,367,,1.1538,19.2893,16.7178,81,07/01/2016,06/30/2019
ST JOSEPH HOSPITAL,050006,CA,READM-30-CABG-HRRP,N/A,,1.0201,12.6504,12.4012,Too Few to Report,07/01/2016,06/30/2019
ST JOSEPH HOSPITAL,050006,CA,READM-30-AMI-HRRP,302,,1.0313,15.9715,15.4873,50,07/01/2016,06/30/2019
ST JOSEPH HOSPITAL,050006,CA,READM-30-COPD-HRRP,210,,0.8739,18.5350,21.2096,27,07/01/2016,06/30/2019
ST JOSEPH HOSPITAL,050006,CA,READM-30-HF-HRRP,414,,0.9291,20.4767,22.0405,80,07/01/2016,06/30/2019
ST JOSEPH HOSPITAL,050006,CA,READM-30-PN-HRRP,500,,0.8656,14.9938,17.3213,65,07/01/2016,06/30/2019
ST JOSEPH HOSPITAL,050006,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.8445,3.5464,4.1994,Too Few to Report,07/01/2016,06/30/2019
PENINSULA MEDICAL CENTER,050007,CA,READM-30-AMI-HRRP,189,,0.9502,14.2191,14.9650,24,07/01/2016,06/30/2019
PENINSULA MEDICAL CENTER,050007,CA,READM-30-HIP-KNEE-HRRP,412,,0.9001,3.8736,4.3037,14,07/01/2016,06/30/2019
PENINSULA MEDICAL CENTER,050007,CA,READM-30-COPD-HRRP,148,,0.9671,18.1656,18.7828,24,07/01/2016,06/30/2019
PENINSULA MEDICAL CENTER,050007,CA,READM-30-CABG-HRRP,N/A,,0.9105,10.0900,11.0818,Too Few to Report,07/01/2016,06/30/2019
PENINSULA MEDICAL CENTER,050007,CA,READM-30-HF-HRRP,499,,0.8151,17.0087,20.8659,72,07/01/2016,06/30/2019
PENINSULA MEDICAL CENTER,050007,CA,READM-30-PN-HRRP,331,,0.9982,14.8416,14.8690,49,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,READM-30-PN-HRRP,77,,0.9842,15.7165,15.9683,11,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,READM-30-COPD-HRRP,51,,1.0082,20.1597,19.9959,11,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,READM-30-HF-HRRP,N/A,,0.9619,19.8337,20.6203,Too Few to Report,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9472,3.2850,3.4682,Too Few to Report,07/01/2016,06/30/2019
QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,READM-30-CABG-HRRP,N/A,,0.9468,13.7332,14.5055,Too Few to Report,07/01/2016,06/30/2019
QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.7470,3.2221,4.3135,Too Few to Report,07/01/2016,06/30/2019
QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,READM-30-PN-HRRP,418,,0.9578,16.7523,17.4909,67,07/01/2016,06/30/2019
QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,READM-30-COPD-HRRP,161,,1.0703,23.4547,21.9133,44,07/01/2016,06/30/2019
QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,READM-30-AMI-HRRP,180,,1.0164,16.6975,16.4274,31,07/01/2016,06/30/2019
QUEEN OF THE VALLEY MEDICAL CENTER,050009,CA,READM-30-HF-HRRP,433,,0.9335,20.8993,22.3872,86,07/01/2016,06/30/2019
ADVENTIST HEALTH ST HELENA,050013,CA,READM-30-AMI-HRRP,252,,0.9725,14.1190,14.5180,34,07/01/2016,06/30/2019
ADVENTIST HEALTH ST HELENA,050013,CA,READM-30-CABG-HRRP,97,,1.0680,14.8570,13.9106,16,07/01/2016,06/30/2019
ADVENTIST HEALTH ST HELENA,050013,CA,READM-30-COPD-HRRP,103,,0.9368,19.2225,20.5188,14,07/01/2016,06/30/2019
ADVENTIST HEALTH ST HELENA,050013,CA,READM-30-HF-HRRP,257,,0.9089,20.3269,22.3634,46,07/01/2016,06/30/2019
ADVENTIST HEALTH ST HELENA,050013,CA,READM-30-HIP-KNEE-HRRP,1158,,0.9022,3.3577,3.7218,37,07/01/2016,06/30/2019
ADVENTIST HEALTH ST HELENA,050013,CA,READM-30-PN-HRRP,225,,0.8628,15.2720,17.7012,24,07/01/2016,06/30/2019
SUTTER AMADOR HOSPITAL,050014,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SUTTER AMADOR HOSPITAL,050014,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.8861,3.4827,3.9303,Too Few to Report,07/01/2016,06/30/2019
SUTTER AMADOR HOSPITAL,050014,CA,READM-30-COPD-HRRP,157,,0.9405,15.3120,16.2810,19,07/01/2016,06/30/2019
SUTTER AMADOR HOSPITAL,050014,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SUTTER AMADOR HOSPITAL,050014,CA,READM-30-HF-HRRP,160,,0.9934,19.0118,19.1386,30,07/01/2016,06/30/2019
SUTTER AMADOR HOSPITAL,050014,CA,READM-30-PN-HRRP,246,,0.8723,12.6365,14.4864,22,07/01/2016,06/30/2019
MERCY GENERAL HOSPITAL,050017,CA,READM-30-CABG-HRRP,161,,0.8815,10.4877,11.8970,14,07/01/2016,06/30/2019
MERCY GENERAL HOSPITAL,050017,CA,READM-30-AMI-HRRP,628,,0.9189,14.7859,16.0907,88,07/01/2016,06/30/2019
MERCY GENERAL HOSPITAL,050017,CA,READM-30-COPD-HRRP,204,,1.0141,20.9583,20.6679,44,07/01/2016,06/30/2019
MERCY GENERAL HOSPITAL,050017,CA,READM-30-HF-HRRP,480,,0.9745,21.6032,22.1674,102,07/01/2016,06/30/2019
MERCY GENERAL HOSPITAL,050017,CA,READM-30-PN-HRRP,345,,0.9490,15.8360,16.6863,51,07/01/2016,06/30/2019
MERCY GENERAL HOSPITAL,050017,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9733,3.6972,3.7988,Too Few to Report,07/01/2016,06/30/2019
RIVERSIDE COMMUNITY HOSPITAL,050022,CA,READM-30-AMI-HRRP,281,,1.1291,18.4360,16.3280,59,07/01/2016,06/30/2019
RIVERSIDE COMMUNITY HOSPITAL,050022,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9177,3.4429,3.7516,Too Few to Report,07/01/2016,06/30/2019
RIVERSIDE COMMUNITY HOSPITAL,050022,CA,READM-30-COPD-HRRP,196,,1.0284,21.1709,20.5867,44,07/01/2016,06/30/2019
RIVERSIDE COMMUNITY HOSPITAL,050022,CA,READM-30-CABG-HRRP,N/A,,0.9124,12.8498,14.0841,Too Few to Report,07/01/2016,06/30/2019
RIVERSIDE COMMUNITY HOSPITAL,050022,CA,READM-30-HF-HRRP,363,,1.1376,25.9465,22.8078,103,07/01/2016,06/30/2019
RIVERSIDE COMMUNITY HOSPITAL,050022,CA,READM-30-PN-HRRP,428,,1.1480,20.7741,18.0955,99,07/01/2016,06/30/2019
PARADISE VALLEY HOSPITAL,050024,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
PARADISE VALLEY HOSPITAL,050024,CA,READM-30-AMI-HRRP,N/A,,0.9938,22.9156,23.0590,Too Few to Report,07/01/2016,06/30/2019
PARADISE VALLEY HOSPITAL,050024,CA,READM-30-COPD-HRRP,89,,0.9890,20.2040,20.4291,17,07/01/2016,06/30/2019
PARADISE VALLEY HOSPITAL,050024,CA,READM-30-HF-HRRP,209,,1.0499,26.6049,25.3406,59,07/01/2016,06/30/2019
PARADISE VALLEY HOSPITAL,050024,CA,READM-30-PN-HRRP,240,,0.9681,20.1579,20.8219,46,07/01/2016,06/30/2019
PARADISE VALLEY HOSPITAL,050024,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9331,3.8434,4.1189,Too Few to Report,07/01/2016,06/30/2019
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,CA,READM-30-AMI-HRRP,324,,1.0156,16.6968,16.4402,55,07/01/2016,06/30/2019
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,CA,READM-30-CABG-HRRP,N/A,,0.8826,11.3219,12.8275,Too Few to Report,07/01/2016,06/30/2019
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,CA,READM-30-COPD-HRRP,167,,0.9188,20.7531,22.5866,27,07/01/2016,06/30/2019
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,CA,READM-30-HF-HRRP,544,,1.0248,23.4141,22.8481,129,07/01/2016,06/30/2019
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,CA,READM-30-HIP-KNEE-HRRP,623,,0.8288,3.4464,4.1585,18,07/01/2016,06/30/2019
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,CA,READM-30-PN-HRRP,644,,1.0487,19.6524,18.7391,130,07/01/2016,06/30/2019
GROSSMONT HOSPITAL,050026,CA,READM-30-AMI-HRRP,201,,0.9760,16.1254,16.5213,31,07/01/2016,06/30/2019
GROSSMONT HOSPITAL,050026,CA,READM-30-COPD-HRRP,726,,1.0942,24.7386,22.6090,188,07/01/2016,06/30/2019
GROSSMONT HOSPITAL,050026,CA,READM-30-CABG-HRRP,49,,1.2077,15.3531,12.7125,12,07/01/2016,06/30/2019
GROSSMONT HOSPITAL,050026,CA,READM-30-HF-HRRP,727,,0.8825,19.1285,21.6749,131,07/01/2016,06/30/2019
GROSSMONT HOSPITAL,050026,CA,READM-30-PN-HRRP,829,,1.1128,18.7423,16.8426,163,07/01/2016,06/30/2019
GROSSMONT HOSPITAL,050026,CA,READM-30-HIP-KNEE-HRRP,506,,0.7957,3.1995,4.0211,12,07/01/2016,06/30/2019
MAD RIVER COMMUNITY HOSPITAL,050028,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAD RIVER COMMUNITY HOSPITAL,050028,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAD RIVER COMMUNITY HOSPITAL,050028,CA,READM-30-COPD-HRRP,N/A,,0.9747,16.8933,17.3325,Too Few to Report,07/01/2016,06/30/2019
MAD RIVER COMMUNITY HOSPITAL,050028,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
MAD RIVER COMMUNITY HOSPITAL,050028,CA,READM-30-HF-HRRP,N/A,,0.9453,18.6518,19.7301,Too Few to Report,07/01/2016,06/30/2019
MAD RIVER COMMUNITY HOSPITAL,050028,CA,READM-30-PN-HRRP,165,,0.9146,12.6563,13.8382,15,07/01/2016,06/30/2019
OROVILLE HOSPITAL,050030,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
OROVILLE HOSPITAL,050030,CA,READM-30-AMI-HRRP,76,,1.2786,22.4422,17.5517,32,07/01/2016,06/30/2019
OROVILLE HOSPITAL,050030,CA,READM-30-COPD-HRRP,137,,1.0834,23.8512,22.0143,40,07/01/2016,06/30/2019
OROVILLE HOSPITAL,050030,CA,READM-30-HF-HRRP,486,,1.2955,29.2300,22.5633,160,07/01/2016,06/30/2019
OROVILLE HOSPITAL,050030,CA,READM-30-PN-HRRP,1317,,1.4549,26.5695,18.2614,378,07/01/2016,06/30/2019
OROVILLE HOSPITAL,050030,CA,READM-30-HIP-KNEE-HRRP,124,,1.4369,8.0646,5.6127,17,07/01/2016,06/30/2019
BAKERSFIELD MEMORIAL HOSPITAL,050036,CA,READM-30-AMI-HRRP,259,,1.0196,16.1702,15.8601,43,07/01/2016,06/30/2019
BAKERSFIELD MEMORIAL HOSPITAL,050036,CA,READM-30-HIP-KNEE-HRRP,187,,1.1381,5.1247,4.5026,12,07/01/2016,06/30/2019
BAKERSFIELD MEMORIAL HOSPITAL,050036,CA,READM-30-COPD-HRRP,289,,0.9920,19.9704,20.1316,57,07/01/2016,06/30/2019
BAKERSFIELD MEMORIAL HOSPITAL,050036,CA,READM-30-CABG-HRRP,N/A,,1.0324,12.7840,12.3825,Too Few to Report,07/01/2016,06/30/2019
BAKERSFIELD MEMORIAL HOSPITAL,050036,CA,READM-30-HF-HRRP,453,,1.0188,22.9044,22.4808,105,07/01/2016,06/30/2019
BAKERSFIELD MEMORIAL HOSPITAL,050036,CA,READM-30-PN-HRRP,372,,1.0071,16.5339,16.4170,62,07/01/2016,06/30/2019
SANTA CLARA VALLEY MEDICAL CENTER,050038,CA,READM-30-CABG-HRRP,N/A,,1.0496,11.1818,10.6534,Too Few to Report,07/01/2016,06/30/2019
SANTA CLARA VALLEY MEDICAL CENTER,050038,CA,READM-30-AMI-HRRP,N/A,,0.9773,14.4799,14.8167,Too Few to Report,07/01/2016,06/30/2019
SANTA CLARA VALLEY MEDICAL CENTER,050038,CA,READM-30-COPD-HRRP,85,,1.0085,19.1296,18.9679,17,07/01/2016,06/30/2019
SANTA CLARA VALLEY MEDICAL CENTER,050038,CA,READM-30-HF-HRRP,270,,0.9155,19.1242,20.8886,46,07/01/2016,06/30/2019
SANTA CLARA VALLEY MEDICAL CENTER,050038,CA,READM-30-PN-HRRP,256,,0.9297,16.0460,17.2599,36,07/01/2016,06/30/2019
SANTA CLARA VALLEY MEDICAL CENTER,050038,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ENLOE MEDICAL CENTER,050039,CA,READM-30-AMI-HRRP,532,,0.9672,14.4522,14.9417,75,07/01/2016,06/30/2019
ENLOE MEDICAL CENTER,050039,CA,READM-30-HIP-KNEE-HRRP,908,,1.0296,3.7958,3.6868,35,07/01/2016,06/30/2019
ENLOE MEDICAL CENTER,050039,CA,READM-30-COPD-HRRP,1376,,1.0648,20.4570,19.2127,287,07/01/2016,06/30/2019
ENLOE MEDICAL CENTER,050039,CA,READM-30-CABG-HRRP,217,,1.1208,15.3305,13.6787,36,07/01/2016,06/30/2019
ENLOE MEDICAL CENTER,050039,CA,READM-30-HF-HRRP,1110,,1.1359,23.7472,20.9064,272,07/01/2016,06/30/2019
ENLOE MEDICAL CENTER,050039,CA,READM-30-PN-HRRP,1479,,1.0962,18.0212,16.4404,273,07/01/2016,06/30/2019
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-COPD-HRRP,N/A,,0.9897,21.2489,21.4708,Too Few to Report,07/01/2016,06/30/2019
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-HF-HRRP,101,,1.0492,22.6270,21.5669,26,07/01/2016,06/30/2019
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-PN-HRRP,98,,1.0712,20.3979,19.0427,25,07/01/2016,06/30/2019
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,050040,CA,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-AMI-HRRP,N/A,,0.9811,16.3905,16.7057,Too Few to Report,07/01/2016,06/30/2019
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9511,4.0044,4.2102,Too Few to Report,07/01/2016,06/30/2019
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-COPD-HRRP,255,,0.9736,17.3628,17.8330,42,07/01/2016,06/30/2019
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-HF-HRRP,198,,0.9829,19.7474,20.0917,38,07/01/2016,06/30/2019
ST ELIZABETH COMMUNITY HOSPITAL,050042,CA,READM-30-PN-HRRP,235,,0.9342,13.8572,14.8335,28,07/01/2016,06/30/2019
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-PN-HRRP,439,,1.0681,18.2980,17.1308,85,07/01/2016,06/30/2019
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-CABG-HRRP,124,,0.8701,11.4777,13.1912,11,07/01/2016,06/30/2019
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-COPD-HRRP,277,,0.9854,19.5998,19.8895,53,07/01/2016,06/30/2019
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-HF-HRRP,673,,0.9204,20.7136,22.5050,134,07/01/2016,06/30/2019
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-AMI-HRRP,411,,0.9166,15.0896,16.4624,57,07/01/2016,06/30/2019
ALTA BATES SUMMIT MEDICAL CENTER,050043,CA,READM-30-HIP-KNEE-HRRP,328,,0.9425,3.6853,3.9100,11,07/01/2016,06/30/2019
EL CENTRO REGIONAL MEDICAL CENTER,050045,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
EL CENTRO REGIONAL MEDICAL CENTER,050045,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.8770,3.1289,3.5679,Too Few to Report,07/01/2016,06/30/2019
EL CENTRO REGIONAL MEDICAL CENTER,050045,CA,READM-30-PN-HRRP,463,,1.0697,17.7707,16.6122,87,07/01/2016,06/30/2019
EL CENTRO REGIONAL MEDICAL CENTER,050045,CA,READM-30-COPD-HRRP,120,,0.9997,18.3578,18.3640,22,07/01/2016,06/30/2019
EL CENTRO REGIONAL MEDICAL CENTER,050045,CA,READM-30-AMI-HRRP,N/A,,0.9548,17.6043,18.4372,Too Few to Report,07/01/2016,06/30/2019
EL CENTRO REGIONAL MEDICAL CENTER,050045,CA,READM-30-HF-HRRP,292,,1.0238,22.4142,21.8925,67,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,CA,READM-30-AMI-HRRP,207,,1.0695,16.0103,14.9704,37,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,CA,READM-30-CABG-HRRP,N/A,,0.9829,13.3625,13.5944,Too Few to Report,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,CA,READM-30-COPD-HRRP,176,,0.9870,19.9825,20.2449,34,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,CA,READM-30-HF-HRRP,550,,1.0655,21.9773,20.6263,125,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,CA,READM-30-HIP-KNEE-HRRP,665,,0.7915,2.7429,3.4657,14,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,CA,READM-30-PN-HRRP,413,,0.9787,15.1270,15.4563,61,07/01/2016,06/30/2019
SAN GORGONIO MEMORIAL HOSPITAL,050054,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SAN GORGONIO MEMORIAL HOSPITAL,050054,CA,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SAN GORGONIO MEMORIAL HOSPITAL,050054,CA,READM-30-COPD-HRRP,115,,0.9865,18.4108,18.6625,20,07/01/2016,06/30/2019
SAN GORGONIO MEMORIAL HOSPITAL,050054,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
SAN GORGONIO MEMORIAL HOSPITAL,050054,CA,READM-30-HF-HRRP,94,,1.0135,19.3062,19.0484,19,07/01/2016,06/30/2019
SAN GORGONIO MEMORIAL HOSPITAL,050054,CA,READM-30-PN-HRRP,123,,1.0336,16.0398,15.5186,22,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,CA,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,CA,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,CA,READM-30-COPD-HRRP,100,,1.0530,20.4588,19.4293,25,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,CA,READM-30-HF-HRRP,153,,1.0195,22.0511,21.6302,35,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,CA,READM-30-PN-HRRP,122,,1.0123,14.0845,13.9138,18,07/01/2016,06/30/2019
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,CA,READM-30-HIP-KNEE-HRRP,N/A,,0.9627,3.4866,3.6217,Too Few to Report,07/01/2016,06/30/2019
ANTELOPE VALLEY HOSPITAL,050056,CA,READM-30-AMI-HRRP,123,,1.0215,16.8673,16.5124,22,07/01/2016,06/30/2019
ANTELOPE VALLEY HOSPITAL,050056,CA,READM-30-HIP-KNEE-HRRP,N/A,,1.0463,5.1146,4.8882,Too Few to Report,07/01/2016,06/30/2019
ANTELOPE VALLEY HOSPITAL,050056,CA,READM-30-COPD-HRRP,259,,1.1150,21.0116,18.8439,64,07/01/2016,06/30/2019
ANTELOPE VALLEY HOSPITAL,050056,CA,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2016,06/30/2019
